field_1,Site,Sample_ID,Date_ddPCR,Sample.type,State,Well,Lab_ID,Target,Concentrat,Status,Experiment,Supermix,DyeName.s.,Accepted_D,Positives.,Negatives.,Concentr_1,Accepted_1,Positive_1,Negative_1,Concentr_2,Accepted_2,Positive_2,Negative_2,freq,Infected,Bd.load_co,Comments.x,GPS,Collection,DOY,Time,Hg_mean,Coloration,Size,Frog_posit,Sex,Male,Weight,SVL,leaf_litte,ground_veg,small_trun,large_trun,fallen_tre,woody,phyto,Type_phyto,Microhab_t,Ambient_te,canopy_ID,canopy_cov,Comments.y,DateTimeS,Elevation,DateTime,Lon,Lat,dist_to_ph,dist_to_tr,coords.x1,coords.x2,distance.y,dist_km,min_spent,hrs_spent,frogs_obse,ind_obs,ind_per_km,Area_m,Area_ha,HFI,scaled_SMI.rob,DNA_ng.ml
13,Cacao,23-Dt-191,27/07/2023,Frog swab,Wild,B11,DT163,Bd,1.138725281,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,17572,17,17555,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,1.138725281,,819,14/03/2023,73,09:50,2.72,blue,Small,Under fallen log,Female,0,3.88,3.79,75,10,0,1,1,20,FALSE,NA,24.7,25.3,IMG_5205,93.08,,53:53.0,151.5208,3/14/2023 12:53,-52.430326,4.587667,23.54494706,2.228932822,1007406.926,508706.9523,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.56224918,0.493205237,4.54
14,Cacao,23-Dt-191,27/07/2023,Frog swab,Wild,B11,DT163,RAG1,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,17572,0,17572,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,819,14/03/2023,73,09:50,2.72,blue,Small,Under fallen log,Female,0,3.88,3.79,75,10,0,1,1,20,FALSE,NA,24.7,25.3,IMG_5205,93.08,,53:53.0,151.5208,3/14/2023 12:53,-52.430326,4.587667,23.54494706,2.228932822,1007406.926,508706.9523,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.56224918,0.493205237,4.54
15,Cacao,23-Dt-192,27/07/2023,Frog swab,Wild,C11,DT164,RAG1,0.062506735,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,18822,1,18821,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,750,06/03/2023,65,10:00,2.72,blue,Small,Under fallen log,Male,1,2.18,3.4,80,15,0,1,1,10,FALSE,NA,24.3,25,IMG_4963,90.15,skinny and milky right eye,11:19.0,169.7741,03/06/2023 13:11,-52.430332,4.587596,23.88986036,5.725009514,1007406.309,508699.075,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.56224918,-0.799165849,5.52
16,Cacao,23-Dt-192,27/07/2023,Frog swab,Wild,C11,DT164,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,18822,0,18822,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,750,06/03/2023,65,10:00,2.72,blue,Small,Under fallen log,Male,1,2.18,3.4,80,15,0,1,1,10,FALSE,NA,24.3,25,IMG_4963,90.15,skinny and milky right eye,11:19.0,169.7741,03/06/2023 13:11,-52.430332,4.587596,23.88986036,5.725009514,1007406.309,508699.075,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.56224918,-0.799165849,5.52
17,Cacao,23-Dt-193,27/07/2023,Frog swab,Wild,D11,DT165,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,8854,0,8854,0.064860411,18139,1,18138,NA,NA,NA,NA,2,No,0,,820,15/03/2023,74,11:00,2.72,blue,Small,Under fallen log,Male,1,3.22,3.51,50,5,0,0,1,80,FALSE,NA,24.9,26.4,IMG_5219,97.33,,10:13.0,155.675,3/15/2023 14:10,-52.432709,4.586905,64.90693102,3.535209423,1007142.304,508620.7615,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.37508202,1.2577571,4.62
18,Cacao,23-Dt-193,27/07/2023,Frog swab,Wild,D11,DT165,RAG1,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,8854,0,8854,17.84100151,18139,273,17866,NA,NA,NA,NA,2,,NA,,820,15/03/2023,74,11:00,2.72,blue,Small,Under fallen log,Male,1,3.22,3.51,50,5,0,0,1,80,FALSE,NA,24.9,26.4,IMG_5219,97.33,,10:13.0,155.675,3/15/2023 14:10,-52.432709,4.586905,64.90693102,3.535209423,1007142.304,508620.7615,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.37508202,1.2577571,4.62
19,Cacao,23-Dt-194,27/07/2023,Frog swab,Wild,E11,DT166,RAG1,0.070546612,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,16677,1,16676,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,821,15/03/2023,74,13:00,2.72,blue,Small,Under fallen log,Male,1,2.84,3.66,60,3,1,0,1,3,FALSE,NA,25.4,25.4,IMG_5222,92.79,,05:36.0,121.0197,3/15/2023 16:05,-52.429029,4.589662,47.26116011,13.5338925,1007549.831,508929.0959,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.56224918,-0.825968057,4.44
20,Cacao,23-Dt-194,27/07/2023,Frog swab,Wild,E11,DT166,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,16677,0,16677,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,821,15/03/2023,74,13:00,2.72,blue,Small,Under fallen log,Male,1,2.84,3.66,60,3,1,0,1,3,FALSE,NA,25.4,25.4,IMG_5222,92.79,,05:36.0,121.0197,3/15/2023 16:05,-52.429029,4.589662,47.26116011,13.5338925,1007549.831,508929.0959,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.56224918,-0.825968057,4.44
21,Cacao,23-Dt-185,27/07/2023,Frog swab,Wild,G09,DT152,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,17871,0,17871,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,749,06/03/2023,65,09:55,2.72,blue,Small,Undef fallen log,Female,0,4.79,4.07,100,5,1,0,1,5,FALSE,NA,24.3,25,IMG_4966,94.94,Interacting with 23-Dt-187,35:51.0,206.4861,03/08/2023 15:35,-52.425129,4.56643,79.10432013,61.86089062,1008000.248,506355.7175,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.26361656,0.118523437,5.32
22,Cacao,23-Dt-185,27/07/2023,Frog swab,Wild,G09,DT152,RAG1,0.065833107,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,17871,1,17870,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,749,06/03/2023,65,09:55,2.72,blue,Small,Undef fallen log,Female,0,4.79,4.07,100,5,1,0,1,5,FALSE,NA,24.3,25,IMG_4966,94.94,Interacting with 23-Dt-187,35:51.0,206.4861,03/08/2023 15:35,-52.425129,4.56643,79.10432013,61.86089062,1008000.248,506355.7175,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.26361656,0.118523437,5.32
23,Cacao,23-Dt-186,27/07/2023,Frog swab,Wild,H09,DT153,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,20029,0,20029,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,759,06/03/2023,65,13:32,2.72,blue,Small,Under dead wood,Female,0,3.2,3.86,95,2,4,0,1,25,FALSE,NA,24.8,26.6,IMG_4981,96.03,,32:55.0,172.7128,03/06/2023 16:32,-52.430729,4.587009,54.22780165,50.86176203,1007362.55,508633.7017,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.37508202,-1.293039179,5.12
24,Cacao,23-Dt-186,27/07/2023,Frog swab,Wild,H09,DT153,RAG1,0.587530255,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,20029,10,20019,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,759,06/03/2023,65,13:32,2.72,blue,Small,Under dead wood,Female,0,3.2,3.86,95,2,4,0,1,25,FALSE,NA,24.8,26.6,IMG_4981,96.03,,32:55.0,172.7128,03/06/2023 16:32,-52.430729,4.587009,54.22780165,50.86176203,1007362.55,508633.7017,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.37508202,-1.293039179,5.12
25,Cacao,23-Dt-187,27/07/2023,Frog swab,Wild,A10,DT154,RAG1,0.11686407,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,20135,2,20133,1.115807891,15823,15,15808,NA,NA,NA,NA,2,,NA,,749,06/03/2023,65,09:55,2.72,blue,Small,Under fallen log,Male,1,2.91,3.4,100,5,1,0,1,5,FALSE,NA,24.3,25,IMG_4966,94.94,Interacting with 23-Dt-185,00:51.0,166.3775,03/06/2023 13:00,-52.430349,4.587759,29.70601033,4.748893599,1007404.302,508717.1375,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.56224918,1.386002211,4.64
26,Cacao,23-Dt-187,27/07/2023,Frog swab,Wild,A10,DT154,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,20135,0,20135,0,15823,0,15823,NA,NA,NA,NA,2,No,0,,749,06/03/2023,65,09:55,2.72,blue,Small,Under fallen log,Male,1,2.91,3.4,100,5,1,0,1,5,FALSE,NA,24.3,25,IMG_4966,94.94,Interacting with 23-Dt-185,00:51.0,166.3775,03/06/2023 13:00,-52.430349,4.587759,29.70601033,4.748893599,1007404.302,508717.1375,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.56224918,1.386002211,4.64
27,Cacao,23-Dt-188,27/07/2023,Frog swab,Wild,B10,DT155,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,17451,0,17451,0,15605,0,15605,NA,NA,NA,NA,2,No,0,,782,08/03/2023,67,10:10,2.72,blue,Small,Under fallen log,Female,0,4.55,4,75,40,1,0,2,5,FALSE,NA,24.7,25.7,IMG_5047,94.12,,16:39.0,138.3,03/08/2023 13:16,-52.428388,4.589004,107.8383013,11.46774177,1007621.624,508856.5881,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.56224918,0.20712536,4.56
28,Cacao,23-Dt-188,27/07/2023,Frog swab,Wild,B10,DT155,RAG1,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,17451,0,17451,0.075393036,15605,1,15604,NA,NA,NA,NA,2,,NA,,782,08/03/2023,67,10:10,2.72,blue,Small,Under fallen log,Female,0,4.55,4,75,40,1,0,2,5,FALSE,NA,24.7,25.7,IMG_5047,94.12,,16:39.0,138.3,03/08/2023 13:16,-52.428388,4.589004,107.8383013,11.46774177,1007621.624,508856.5881,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.56224918,0.20712536,4.56
29,Kaw,23-Dt-001,17/05/2023,Frog swab,Wild,A01,DT14,RAG1,1.338187814,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,20232,23,20209,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,295,18/01/2023,18,09:00,1.3,blue,Small,"Leaf litter, under plant",Female,0,4.4,3.378,100,30,14,0,0,0,FALSE,NA,22.5,22.9,IMG_3253,94.28,,48:05.0,128.413193,1/18/2023 11:48,-52.043816,4.503134,36.28338393,56.24152826,1050491.117,499614.7816,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,3.423267706,too low
30,Kaw,23-Dt-001,17/05/2023,Frog swab,Wild,A01,DT14,Bd,1.221763134,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,20232,21,20211,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,1.221763134,,295,18/01/2023,18,09:00,1.3,blue,Small,"Leaf litter, under plant",Female,0,4.4,3.378,100,30,14,0,0,0,FALSE,NA,22.5,22.9,IMG_3253,94.28,,48:05.0,128.413193,1/18/2023 11:48,-52.043816,4.503134,36.28338393,56.24152826,1050491.117,499614.7816,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,3.423267706,too low
31,Kaw,23-Dt-002,17/05/2023,Frog swab,Wild,A02,DT15,RAG1,1.378701091,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,18784,22,18762,1.228217363,18209,19,18190,NA,NA,NA,NA,2,,NA,,296,18/01/2023,18,09:09,1.3,blue,Small,"Leaf litter, under plant",Female,0,3.69,3.84,80,50,7,0,0,3,FALSE,NA,23.3,23.6,IMG_3255,96.6,,08:47.0,132.940399,1/18/2023 12:08,-52.043558,4.503418,58.43300718,22.33165778,1050519.63,499646.4868,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,-0.225843421,too low
32,Kaw,23-Dt-002,17/05/2023,Frog swab,Wild,A02,DT15,Bd,0.438502371,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,18784,7,18777,0.258465558,18209,4,18205,NA,NA,NA,NA,2,Yes,0.348483965,,296,18/01/2023,18,09:09,1.3,blue,Small,"Leaf litter, under plant",Female,0,3.69,3.84,80,50,7,0,0,3,FALSE,NA,23.3,23.6,IMG_3255,96.6,,08:47.0,132.940399,1/18/2023 12:08,-52.043558,4.503418,58.43300718,22.33165778,1050519.63,499646.4868,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,-0.225843421,too low
33,Kaw,23-Dt-003,17/05/2023,Frog swab,Wild,A03,DT16,RAG1,0.304982662,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,19290,5,19285,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,297,18/01/2023,18,09:50,1.3,blue,Small,Leaf litter,Male,1,2.9,3.95,95,10,3,2,0,0,FALSE,NA,23.6,24.1,IMG_3258,95.49,,47:01.0,162.619446,1/18/2023 12:47,-52.043711,4.504917,26.39429497,83.33749242,1050501.461,499812.6839,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,-1.71353271,too low
34,Kaw,23-Dt-003,17/05/2023,Frog swab,Wild,A03,DT16,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,19290,0,19290,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,297,18/01/2023,18,09:50,1.3,blue,Small,Leaf litter,Male,1,2.9,3.95,95,10,3,2,0,0,FALSE,NA,23.6,24.1,IMG_3258,95.49,,47:01.0,162.619446,1/18/2023 12:47,-52.043711,4.504917,26.39429497,83.33749242,1050501.461,499812.6839,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,-1.71353271,too low
35,Kaw,23-Dt-004,17/05/2023,Frog swab,Wild,A04,DT17,RAG1,0.386878729,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,21290,7,21283,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,298,18/01/2023,18,10:00,1.3,blue,Small,Leaf litter,Male,1,2.78,3.4,95,10,3,1,0,0,FALSE,NA,23.2,24.1,IMG_3258,95.49,,51:26.0,161.686874,1/18/2023 12:51,-52.043751,4.504945,25.37222121,86.63281689,1050496.986,499815.7602,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,-0.049688612,too low
36,Kaw,23-Dt-004,17/05/2023,Frog swab,Wild,A04,DT17,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,21290,0,21290,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,298,18/01/2023,18,10:00,1.3,blue,Small,Leaf litter,Male,1,2.78,3.4,95,10,3,1,0,0,FALSE,NA,23.2,24.1,IMG_3258,95.49,,51:26.0,161.686874,1/18/2023 12:51,-52.043751,4.504945,25.37222121,86.63281689,1050496.986,499815.7602,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,-0.049688612,too low
37,Kaw,23-Dt-005,17/05/2023,Frog swab,Wild,A05,DT23,RAG1,0.059884991,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,19646,1,19645,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,302,18/01/2023,18,11:11,1.3,blue,Small,Leaf litter,Male,1,2.53,3.5,95,5,6,1,0,5,FALSE,NA,24.2,25.8,IMG_3281,92.73,Empty palm bract,04:50.0,159.096161,1/18/2023 14:04,-52.043793,4.504545,10.76332708,43.36090924,1050492.611,499771.3486,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,-0.936441587,too low
38,Kaw,23-Dt-005,17/05/2023,Frog swab,Wild,A05,DT23,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,19646,0,19646,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,302,18/01/2023,18,11:11,1.3,blue,Small,Leaf litter,Male,1,2.53,3.5,95,5,6,1,0,5,FALSE,NA,24.2,25.8,IMG_3281,92.73,Empty palm bract,04:50.0,159.096161,1/18/2023 14:04,-52.043793,4.504545,10.76332708,43.36090924,1050492.611,499771.3486,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,-0.936441587,too low
39,Kaw,23-Dt-006,17/05/2023,Frog swab,Wild,A06,DT24,RAG1,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,19880,0,19880,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,304,18/01/2023,18,11:42,1.3,blue,Small,Tree root,Female,0,2.64,3.54,90,10,2,1,1,0,FALSE,NA,24.1,24.8,IMG_3289,95.1,,25:39.0,145.403046,1/18/2023 14:25,-52.04376,4.504272,28.1591611,13.63745293,1050496.492,499741.0844,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,-0.872586913,too low
40,Kaw,23-Dt-006,17/05/2023,Frog swab,Wild,A06,DT24,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,19880,0,19880,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,304,18/01/2023,18,11:42,1.3,blue,Small,Tree root,Female,0,2.64,3.54,90,10,2,1,1,0,FALSE,NA,24.1,24.8,IMG_3289,95.1,,25:39.0,145.403046,1/18/2023 14:25,-52.04376,4.504272,28.1591611,13.63745293,1050496.492,499741.0844,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,-0.872586913,too low
41,Kaw,23-Dt-007,17/05/2023,Frog swab,Wild,A07,DT25,RAG1,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,19863,0,19863,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,306,18/01/2023,18,12:10,1.3,blue,Small,Tree root,Female,0,3.85,3.94,90,10,6,1,0,10,FALSE,NA,24,24.5,IMG_3297,95.3,"Lianas, same gloves",09:04.0,124.566124,1/18/2023 15:09,-52.043722,4.503334,60.80226817,31.84011288,1050501.432,499637.0427,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,-0.356829801,too low
42,Kaw,23-Dt-007,17/05/2023,Frog swab,Wild,A07,DT25,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,19863,0,19863,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,306,18/01/2023,18,12:10,1.3,blue,Small,Tree root,Female,0,3.85,3.94,90,10,6,1,0,10,FALSE,NA,24,24.5,IMG_3297,95.3,"Lianas, same gloves",09:04.0,124.566124,1/18/2023 15:09,-52.043722,4.503334,60.80226817,31.84011288,1050501.432,499637.0427,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,-0.356829801,too low
