field_1,Site,Sample_ID,Date_ddPCR,Sample.type,State,Well,Lab_ID,Target,Concentrat,Status,Experiment,Supermix,DyeName.s.,Accepted_D,Positives.,Negatives.,Concentr_1,Accepted_1,Positive_1,Negative_1,Concentr_2,Accepted_2,Positive_2,Negative_2,freq,Infected,Bd.load_co,Comments.x,GPS,Collection,DOY,Time,Hg_mean,Coloration,Size,Frog_posit,Sex,Male,Weight,SVL,leaf_litte,ground_veg,small_trun,large_trun,fallen_tre,woody,phyto,Type_phyto,Microhab_t,Ambient_te,canopy_ID,canopy_cov,Comments.y,DateTimeS,Elevation,DateTime,Lon,Lat,dist_to_ph,dist_to_tr,coords.x1,coords.x2,distance.y,dist_km,min_spent,hrs_spent,frogs_obse,ind_obs,ind_per_km,Area_m,Area_ha,HFI,SMI.rob,scaled_SMI.rob,DNA_ng.ml
17,Kaw,23-Dt-002,17/05/2023,Frog swab,Wild,A02,DT37,Bd,0.438502371,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,18784,7,18777,0.258465558,18209,4,18205,NA,NA,NA,NA,2,Yes,0.348483965,,296,18/01/2023,18,09:09,1.3,blue,Small,"Leaf litter, under plant",Female,0,3.69,3.84,80,50,7,0,0,3,FALSE,NA,23.3,23.6,IMG_3255,96.6,,08:47.0,132.940399,1/18/2023 12:08,-52.043558,4.503418,58.43300718,22.33165778,1050519.63,499646.4868,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,0.577020253,-0.225843421,too low
18,Kaw,23-Dt-003,17/05/2023,Frog swab,Wild,A03,DT16,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,19290,0,19290,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,297,18/01/2023,18,09:50,1.3,blue,Small,Leaf litter,Male,1,2.9,3.95,95,10,3,2,0,0,FALSE,NA,23.6,24.1,IMG_3258,95.49,,47:01.0,162.619446,1/18/2023 12:47,-52.043711,4.504917,26.39429497,83.33749242,1050501.461,499812.6839,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,0.418478421,-1.71353271,too low
19,Kaw,23-Dt-004,17/05/2023,Frog swab,Wild,A04,DT17,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,21290,0,21290,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,298,18/01/2023,18,10:00,1.3,blue,Small,Leaf litter,Male,1,2.78,3.4,95,10,3,1,0,0,FALSE,NA,23.2,24.1,IMG_3258,95.49,,51:26.0,161.686874,1/18/2023 12:51,-52.043751,4.504945,25.37222121,86.63281689,1050496.986,499815.7602,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,0.614532803,-0.049688612,too low
20,Kaw,23-Dt-005,17/05/2023,Frog swab,Wild,A05,DT23,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,19646,0,19646,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,302,18/01/2023,18,11:11,1.3,blue,Small,Leaf litter,Male,1,2.53,3.5,95,5,6,1,0,5,FALSE,NA,24.2,25.8,IMG_3281,92.73,Empty palm bract,04:50.0,159.096161,1/18/2023 14:04,-52.043793,4.504545,10.76332708,43.36090924,1050492.611,499771.3486,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,0.51500529,-0.936441587,too low
21,Kaw,23-Dt-006,17/05/2023,Frog swab,Wild,A06,DT24,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,19880,0,19880,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,304,18/01/2023,18,11:42,1.3,blue,Small,Tree root,Female,0,2.64,3.54,90,10,2,1,1,0,FALSE,NA,24.1,24.8,IMG_3289,95.1,,25:39.0,145.403046,1/18/2023 14:25,-52.04376,4.504272,28.1591611,13.63745293,1050496.492,499741.0844,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,0.52030396,-0.872586913,too low
22,Kaw,23-Dt-007,17/05/2023,Frog swab,Wild,A07,DT25,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,19863,0,19863,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,306,18/01/2023,18,12:10,1.3,blue,Small,Tree root,Female,0,3.85,3.94,90,10,6,1,0,10,FALSE,NA,24,24.5,IMG_3297,95.3,"Lianas, same gloves",09:04.0,124.566124,1/18/2023 15:09,-52.043722,4.503334,60.80226817,31.84011288,1050501.432,499637.0427,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,0.559586434,-0.356829801,too low
23,Kaw,23-Dt-008,17/05/2023,Frog swab,Wild,B01,DT26,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,21030,0,21030,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,307,18/01/2023,18,12:30,1.3,blue,Small,Leaf litter,Female,0,3.9,3.87,90,15,1,1,0,0,FALSE,NA,24.6,25.6,IMG_3301,95.12,,17:41.0,114.674377,1/18/2023 15:17,-52.043867,4.502878,9.692522515,49.02036636,1050485.631,499586.3399,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,0.596507357,-0.027824346,too low
24,Kaw,23-Dt-009,17/05/2023,Frog swab,Wild,B02,DT27,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,18454,0,18454,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,315,18/01/2023,18,15:09,1.3,blue,Small,Top fallen tree,Male,1,2.35,3.26,20,80,2,0,2,80,FALSE,NA,26.1,24.7,IMG_3312,82.74,,49:41.0,17.79484,1/18/2023 17:49,-52.046095,4.498388,39.85118681,4.938702231,1050240.937,499086.4903,34299,34,2530,42.16666667,62,57,1.49,118145,12,8.478337288,0.585479216,-0.377983079,too low
25,Kaw,23-Dt-010,17/05/2023,Frog swab,Wild,B03,DT28,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,20296,0,20296,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,327,19/01/2023,19,13:49,1.3,blue,Small,"Leaf litter, next to woody structure",Male,1,2.95,3.27,80,40,3,0,0,70,FALSE,NA,25.5,27.7,IMG_3348,91.39,Dry palm bract,54:03.0,21.924234,1/19/2023 16:54,-52.051352,4.498695,35.94000964,304.6296451,1049655.352,499116.5739,34299,34,2530,42.16666667,62,57,1.49,118145,12,8.478337288,0.728588124,0.939820836,too low
26,Kaw,23-Dt-011,17/05/2023,Frog swab,Wild,B04,DT34,Bd,0.056956768,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,20656,1,20655,0,18900,0,18900,NA,NA,NA,NA,2,No,0,,334,20/01/2023,20,09:50,1.3,blue,Small,Under fallen log,Male,1,2.56,3.35,80,5,3,0,0,40,FALSE,NA,23.6,23.3,IMG_3388,93.86,,53:53.0,113.140366,1/20/2023 12:53,-52.04393,4.502812,2.534639421,51.26713579,1050478.666,499578.9695,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,0.590257785,-0.29576446,too low
27,Kaw,23-Dt-012,17/05/2023,Frog swab,Wild,B05,DT35,Bd,41.25013351,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,18662,643,18019,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,41.25013351,,335,20/01/2023,20,09:50,1.3,blue,Small,Under fallen log,Juvenile,NA,0.43,1.55,80,5,3,0,0,40,FALSE,NA,23.6,23.3,IMG_3388,93.86,,53:56.0,113.136887,1/20/2023 12:53,-52.043926,4.502811,2.866811003,50.81723602,1050479.112,499578.8615,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,0.887858768,NA,too low
28,Kaw,23-Dt-013,17/05/2023,Frog swab,Wild,B06,DT36,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,20860,0,20860,1.034741521,19337,17,19320,0,16474,0,16474,3,No,0,,336,20/01/2023,20,10:29,1.3,blue,Small,Under rock hole,Male,1,2.94,3.22,80,5,0,1,0,10,FALSE,NA,23,23.3,IMG_3391,94.6,,30:11.0,118.36364,1/20/2023 13:30,-52.043801,4.503072,30.8560085,60.02958354,1050492.834,499607.9141,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,0.758651119,1.187967756,too low
29,Kaw,23-Dt-015,17/05/2023,Frog swab,Wild,C01,DT38,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,20694,0,20694,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,341,20/01/2023,20,12:03,1.3,blue,Small,Leaf litter,Female,0,3.57,3.75,90,30,6,0,0,0,FALSE,NA,23.8,23.5,IMG_3411,92.07,,03:46.0,125.328857,1/20/2023 15:03,-52.042556,4.503433,12.0876208,8.061607046,1050631.189,499648.9109,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,0.597214834,-0.067659028,too low
30,Kaw,23-Dt-016,17/05/2023,Frog swab,Wild,D05,DT57,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,16768,0,16768,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,342,20/01/2023,20,13:29,1.3,blue,Small,Tree root,Female,0,4.23,3.79,50,60,3,0,0,5,FALSE,NA,25.8,25.4,IMG_3415,89.02,,28:15.0,81.740753,1/20/2023 16:28,-52.04522,4.499815,61.39968104,13.05419089,1050337.29,499245.4771,34299,34,2530,42.16666667,62,57,1.49,118145,12,8.478337288,0.686587181,0.800336191,6.34
31,Kaw,23-Dt-017,17/05/2023,Frog swab,Wild,D06,DT58,Bd,0.17181024,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,20544,3,20541,0.061555032,19113,1,19112,NA,NA,NA,NA,2,No,0,,343,20/01/2023,20,15:00,1.3,blue,Small,Under fallen log,Male,1,2.24,3.03,20,90,3,0,1,30,FALSE,NA,24.2,23.9,IMG_3416,91.46,,01:51.0,21.150745,1/20/2023 18:01,-52.049129,4.498181,57.57453265,65.7437289,1049903.264,499061.2279,34299,34,2530,42.16666667,62,57,1.49,118145,12,8.478337288,0.687185298,0.436258998,5.08
32,Kaw,23-Dt-018,17/05/2023,Frog swab,Wild,D07,DT59,Bd,167.6733551,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,19408,2578,16830,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,167.6733551,,349,20/01/2023,20,16:50,1.3,blue,Small,Rock pile,Male,1,2.86,3.12,20,60,0,1,0,5,FALSE,NA,24.5,24.5,IMG_3424,93.84,,50:51.0,126.76963,1/20/2023 19:50,-52.043718,4.503084,37.39438186,56.88010852,1050502.066,499609.3084,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,0.807297045,1.572510198,7.22
33,Kaw,23-Dt-019,17/05/2023,Frog swab,Wild,E01,DT60,Bd,23.36902046,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,20643,406,20237,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,23.36902046,,350,20/01/2023,20,17:16,1.3,blue,Small,Under dead wood,Female,0,2.29,3.56,70,20,1,1,2,80,FALSE,NA,23.4,23.2,IMG_3428,91.11,,16:11.0,130.724335,1/20/2023 20:16,-52.043175,4.503566,16.67730254,30.64192852,1050562.164,499663.1978,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,0.444149396,-1.580028208,11.32
34,Kaw,23-Dt-020,17/05/2023,Frog swab,Wild,E02,DT61,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,20364,0,20364,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,351,21/01/2023,21,10:17,1.3,blue,Small,On dead wood,Male,1,2.86,3.7,80,50,3,0,0,20,FALSE,NA,24.1,23.8,IMG_3434,92.98,,18:45.0,43.504692,1/21/2023 13:18,-52.048731,4.498352,9.367145169,19.22610512,1049947.452,499080.5012,34299,34,2530,42.16666667,62,57,1.49,118145,12,8.478337288,0.49706162,-1.036621796,6.52
35,Kaw,23-Dt-021,27/07/2023,Frog swab,Wild,F01,DT80,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,17491,0,17491,0,17224,0,17224,NA,NA,NA,NA,2,No,0,,351,21/01/2023,21,10:30,1.3,blue,Small,On dead wood,Female,0,3.92,4.09,80,50,3,0,0,20,FALSE,NA,24.1,23.8,IMG_3434,92.98,,18:45.0,43.504692,1/21/2023 13:18,-52.048731,4.498352,9.367145169,19.22610512,1049947.452,499080.5012,34299,34,2530,42.16666667,62,57,1.49,118145,12,8.478337288,0.512313063,-0.764147941,4.88
36,Kaw,23-Dt-022,27/07/2023,Frog swab,Wild,G01,DT81,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,19250,0,19250,0,16220,0,16220,NA,NA,NA,NA,2,No,0,,353,21/01/2023,21,11:35,1.3,blue,Small,Leaf litter,Juvenile,NA,0.38,1.67,60,30,1,1,0,50,FALSE,NA,24,24.3,IMG_3439,91.49,Rocks around,37:23.0,108.399048,1/21/2023 14:37,-52.043829,4.50306,28.2041104,60.6547947,1050489.725,499606.5615,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,0.634661656,NA,3.58
37,Kaw,23-Dt-023,27/07/2023,Frog swab,Wild,H01,DT82,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,19184,0,19184,0,17912,0,17912,NA,NA,NA,NA,2,No,0,,354,21/01/2023,21,11:35,1.3,blue,Small,Leaf litter,Juvenile,NA,0.22,1.38,60,30,1,1,0,50,FALSE,NA,24,24.3,IMG_3439,91.49,Rocks around,37:25.0,108.398857,1/21/2023 14:37,-52.043838,4.503063,28.0790189,61.50905141,1050488.721,499606.8875,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,0.632132165,NA,3.42
38,Kaw,23-Dt-024,27/07/2023,Frog swab,Wild,A02,DT83,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,18549,0,18549,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,355,21/01/2023,21,11:54,1.3,blue,Small,Leaf litter,Male,1,2.79,3.66,50,60,0,1,0,10,FALSE,NA,24,23.8,IMG_3440,93.22,Rocks around,59:19.0,119.623642,1/21/2023 14:59,-52.043789,4.503035,28.17375349,55.85305442,1050494.198,499603.8181,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,0.500122056,-1.020967608,2.86
39,Kaw,23-Dt-025,27/07/2023,Frog swab,Wild,B02,DT84,Bd,3.969511747,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,19297,65,19232,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,3.969511747,,357,21/01/2023,21,12:00,1.3,blue,Small,Under dead wood,Female,0,2.97,3.58,30,50,0,1,0,10,FALSE,NA,24,23.8,IMG_3440,93.22,,12:19.0,123.391647,1/21/2023 15:12,-52.043762,4.503037,30.2425949,54.4541894,1050497.203,499604.0604,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,0.566929978,-0.420213581,4.6
40,Kaw,23-Dt-026,27/07/2023,Frog swab,Wild,C02,DT85,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,19457,0,19457,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,358,21/01/2023,21,12:40,1.3,blue,Small,Under fallen log,Male,1,2.5,3.61,50,0,1,1,1,70,TRUE,Pool on rock,24,23.5,IMG_3449,92.62,,47:23.0,124.694832,1/21/2023 15:47,-52.042739,4.503328,7.192140946,12.64816476,1050610.892,499637.1224,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,0.466019627,-1.35895997,5.76
41,Kaw,23-Dt-027,01/08/2023,Frog swab,Wild,D01,DT178,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,18223,0,18223,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,359,21/01/2023,21,12:40,1.3,blue,Small,Under fallen log,Male,1,2.52,3.36,50,0,1,1,1,70,TRUE,Pool on rock,24,23.5,IMG_3449,92.62,Foraging,47:28.0,124.705231,1/21/2023 15:47,-52.042738,4.503342,6.662708254,12.594822,1050610.992,499638.6765,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,0.576129677,-0.422138553,too low
42,Kaw,23-Dt-028,01/08/2023,Frog swab,Wild,E01,DT179,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,17442,0,17442,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,360,21/01/2023,21,13:13,1.3,blue,Small,Tree root,Male,1,2.37,3.27,80,5,6,0,0,5,FALSE,NA,24.5,25.5,IMG_3454,93.77,,16:30.0,124.79213,1/21/2023 16:16,-52.042737,4.503335,6.72812519,12.76358223,1050611.109,499637.9006,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,0.58534029,-0.374988707,too low
